# target name         accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
# ------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
HAP2_SUPER_1          -          all_tr_seqs          -               11      71  85963049  85963109  85963039  85963130 119203658    +         1.1   17.7   0.2  -
HAP2_SUPER_7          -          all_tr_seqs          -               11      71   1285670   1285610   1285680   1285589  80646205    -         1.1   17.7   0.2  -
HAP2_SUPER_9          -          all_tr_seqs          -               11      71  39546725  39546665  39546735  39546644  79048219    -         1.1   17.7   0.2  -
HAP2_SUPER_9          -          all_tr_seqs          -               11      71  39546984  39546924  39546994  39546903  79048219    -         1.1   17.7   0.2  -
HAP3_SUPER_2          -          all_tr_seqs          -               11      71  10857402  10857462  10857392  10857483  99305196    +         1.1   17.7   0.2  -
HAP3_SUPER_2          -          all_tr_seqs          -               11      71  10857661  10857721  10857651  10857742  99305196    +         1.1   17.7   0.2  -
HAP3_SUPER_2          -          all_tr_seqs          -               11      71  85046357  85046417  85046347  85046438  99305196    +         1.1   17.7   0.2  -
HAP3_SUPER_2          -          all_tr_seqs          -               11      71  12325748  12325688  12325758  12325667  99305196    -         1.1   17.7   0.2  -
HAP3_SUPER_6          -          all_tr_seqs          -               11      71  53138321  53138261  53138331  53138240  83683939    -         1.1   17.7   0.2  -
HAP3_SUPER_6          -          all_tr_seqs          -               11      71  53138579  53138519  53138589  53138498  83683939    -         1.1   17.7   0.2  -
HAP3_SUPER_8          -          all_tr_seqs          -               11      71   6618595   6618655   6618585   6618676  76336059    +         1.1   17.7   0.2  -
HAP4_SUPER_1          -          all_tr_seqs          -               11      71  36998753  36998693  36998763  36998672 124928096    -         1.1   17.7   0.2  -
HAP4_SUPER_7          -          all_tr_seqs          -               11      71  33760166  33760226  33760156  33760247  79371950    +         1.1   17.7   0.2  -
HAP4_SUPER_8          -          all_tr_seqs          -               11      71  68514809  68514869  68514799  68514890  86956920    +         1.1   17.7   0.2  -
HAP4_SUPER_8          -          all_tr_seqs          -               11      71  68515053  68515113  68515043  68515134  86956920    +         1.1   17.7   0.2  -
HAP2_SUPER_9          -          all_tr_seqs          -               16      87  40464999  40464927  40465017  40464916  79048219    -         1.1   17.7   0.3  -
HAP4_SUPER_9          -          all_tr_seqs          -               16      87  39011003  39010931  39011021  39010920  82252969    -         1.1   17.7   0.3  -
HAP3_SUPER_5          -          all_tr_seqs          -               11      71  83475745  83475805  83475735  83475826  90917284    +         1.1   17.7   0.3  -
HAP2_SUPER_4          -          all_tr_seqs          -               15      71  64870723  64870667  64870736  64870645  71712053    -         1.1   17.7   0.2  -
HAP3_SUPER_5          -          all_tr_seqs          -               49     149  38721605  38721507  38721617  38721485  90917284    -         1.1   17.7   6.0  -
HAP2_SUPER_4          -          all_tr_seqs          -               11      71  64870970  64870910  64870980  64870889  71712053    -         1.1   17.7   0.2  -
HAP2_SUPER_9          -          all_tr_seqs          -               11      71  26659903  26659843  26659913  26659822  79048219    -         1.1   17.7   0.2  -
HAP3_SUPER_5          -          all_tr_seqs          -               11      71  76189657  76189717  76189647  76189738  90917284    +         1.1   17.7   0.2  -
HAP3_SUPER_6          -          all_tr_seqs          -               11      71  67877222  67877162  67877232  67877141  83683939    -         1.1   17.7   0.2  -
HAP3_SUPER_6          -          all_tr_seqs          -               11      71  67877466  67877406  67877476  67877385  83683939    -         1.1   17.7   0.2  -
HAP4_SUPER_5          -          all_tr_seqs          -               11      71  74002416  74002476  74002406  74002497  88598185    +         1.1   17.7   0.2  -
HAP4_SUPER_6          -          all_tr_seqs          -               11      71  48681984  48681924  48681994  48681903  85432842    -         1.1   17.7   0.2  -
HAP4_SUPER_7          -          all_tr_seqs          -               11      71   1181976   1181916   1181986   1181895  79371950    -         1.1   17.7   0.2  -
HAP3_SUPER_7          -          all_tr_seqs          -               10      71  36550471  36550532  36550462  36550553  81930397    +         1.1   17.7   0.2  -
HAP3_SUPER_4          -          all_tr_seqs          -               11      70  63162933  63162874  63162943  63162852  75370358    -         1.2   17.6   0.4  -
HAP4_SUPER_4          -          all_tr_seqs          -               11      70  64798976  64798917  64798986  64798895  76446087    -         1.2   17.6   0.4  -
HAP3_SUPER_7          -          all_tr_seqs          -               10      71  73267266  73267327  73267257  73267344  81930397    +         1.2   17.6   0.2  -
HAP2_SUPER_6          -          all_tr_seqs          -               11      71  70905494  70905434  70905504  70905416  74197852    -         1.2   17.6   0.6  -
HAP2_SUPER_7          -          all_tr_seqs          -               16     116  58561641  58561538  58561658  58561522  80646205    -         1.2   17.6   1.5  -
HAP4_SUPER_3          -          all_tr_seqs          -               83     157  80429967  80430069  80429942  80430092  86209777    +         1.2   17.6   1.5  -
HAP2_SCAFFOLD_46      -          all_tr_seqs          -               11      70    173464    173523    173454    173545    853183    +         1.2   17.6   0.5  -
HAP4_SUPER_1          -          all_tr_seqs          -               11      71   7995457   7995397   7995467   7995376 124928096    -         1.2   17.6   0.4  -
HAP4_SUPER_6          -          all_tr_seqs          -               15      71  77648854  77648798  77648868  77648777  85432842    -         1.2   17.5   0.0  -
HAP2_SUPER_2          -          all_tr_seqs          -               11      71  30341416  30341476  30341406  30341497  91274010    +         1.2   17.5   0.5  -
HAP4_SUPER_2          -          all_tr_seqs          -               11      71  29569385  29569445  29569375  29569466  91246324    +         1.2   17.5   0.5  -
HAP3_SUPER_3          -          all_tr_seqs          -               16      89  32940994  32940922  32941009  32940902  82926109    -         1.2   17.5   2.3  -
HAP2_SUPER_4          -          all_tr_seqs          -               50     149  68199942  68199838  68199957  68199818  71712053    -         1.3   17.5   2.8  -
HAP2_SUPER_1          -          all_tr_seqs          -               11      70   9400056   9399997   9400066   9399975 119203658    -         1.3   17.5   0.6  -
HAP3_SUPER_5          -          all_tr_seqs          -               49     149  38714238  38714140  38714250  38714118  90917284    -         1.3   17.5   6.3  -
HAP2_SCAFFOLD_41      -          all_tr_seqs          -               11      71     49729     49789     49719     49810   1106198    +         1.3   17.5   0.5  -
HAP3_SUPER_1          -          all_tr_seqs          -               11      71 100938533 100938473 100938543 100938452 117562012    -         1.3   17.5   0.5  -
HAP4_SUPER_1          -          all_tr_seqs          -               11      71 103959231 103959171 103959241 103959150 124928096    -         1.3   17.5   0.5  -
HAP2_SUPER_5          -          all_tr_seqs          -               10      71  73054764  73054703  73054773  73054682  92043866    -         1.3   17.5   0.6  -
HAP2_SUPER_2          -          all_tr_seqs          -               11      71  33362392  33362332  33362402  33362311  91274010    -         1.3   17.5   0.5  -
HAP4_SUPER_2          -          all_tr_seqs          -               11      71  32583717  32583657  32583727  32583636  91246324    -         1.3   17.5   0.5  -
HAP3_SUPER_9          -          all_tr_seqs          -               15      76  27189816  27189877  27189800  27189895  87916990    +         1.3   17.5   5.7  -
HAP2_SUPER_5          -          all_tr_seqs          -               11      70   9139177   9139118   9139187   9139097  92043866    -         1.3   17.5   0.4  -
HAP3_SUPER_1          -          all_tr_seqs          -               11      70   9538906   9538847   9538916   9538826 117562012    -         1.3   17.5   0.4  -
HAP4_SUPER_1          -          all_tr_seqs          -               11      70   9230107   9230048   9230117   9230027 124928096    -         1.3   17.5   0.4  -
HAP3_SUPER_2          -          all_tr_seqs          -               12      71  40657606  40657547  40657616  40657526  99305196    -         1.3   17.5   0.3  -
HAP4_SUPER_7          -          all_tr_seqs          -               11      71  33760425  33760485  33760415  33760506  79371950    +         1.3   17.5   0.5  -
HAP3_SUPER_6          -          all_tr_seqs          -               14      71  56568994  56568937  56569007  56568916  83683939    -         1.3   17.5   0.2  -
HAP3_SUPER_8          -          all_tr_seqs          -               11      71   6618321   6618381   6618311   6618402  76336059    +         1.3   17.5   0.5  -
HAP2_SUPER_7          -          all_tr_seqs          -               11      71  45924595  45924655  45924585  45924676  80646205    +         1.3   17.5   0.5  -
HAP2_SUPER_7          -          all_tr_seqs          -               11      71  23436752  23436692  23436762  23436671  80646205    -         1.3   17.5   0.5  -
HAP2_SUPER_7          -          all_tr_seqs          -               11      71  23437011  23436951  23437021  23436930  80646205    -         1.3   17.5   0.5  -
HAP2_SUPER_8          -          all_tr_seqs          -               11      71   4373763   4373823   4373753   4373844  77766227    +         1.3   17.5   0.5  -
HAP3_SUPER_8          -          all_tr_seqs          -               11      71   3967151   3967211   3967141   3967232  76336059    +         1.3   17.5   0.5  -
HAP4_SUPER_8          -          all_tr_seqs          -               11      71   4877217   4877277   4877207   4877298  86956920    +         1.3   17.5   0.5  -
HAP3_SUPER_4          -          all_tr_seqs          -               11      71  70310583  70310643  70310573  70310664  75370358    +         1.3   17.5   0.5  -
HAP2_SUPER_9          -          all_tr_seqs          -               15      75  28112204  28112264  28112188  28112283  79048219    +         1.3   17.4   5.6  -
HAP4_SUPER_2          -          all_tr_seqs          -               10      71  73501351  73501290  73501360  73501269  91246324    -         1.3   17.4   0.5  -
HAP4_SUPER_6          -          all_tr_seqs          -               10      71  48681741  48681680  48681750  48681659  85432842    -         1.3   17.4   0.5  -
HAP3_SUPER_2          -          all_tr_seqs          -               11      71  34551214  34551154  34551224  34551133  99305196    -         1.3   17.4   0.5  -
HAP3_SUPER_3          -          all_tr_seqs          -               10      72  47131123  47131061  47131132  47131041  82926109    -         1.3   17.4   1.2  -
HAP4_SUPER_1          -          all_tr_seqs          -               11      71  64992333  64992273  64992343  64992252 124928096    -         1.3   17.4   0.5  -
HAP2_SCAFFOLD_53      -          all_tr_seqs          -               11      71    197058    196998    197068    196977    769978    -         1.4   17.4   0.5  -
HAP3_SUPER_7          -          all_tr_seqs          -               11      70  66382688  66382629  66382698  66382612  81930397    -         1.4   17.4   0.5  -
